tf,rr,touch_pct,max_bars,n,wr,total_r,pct_ret,max_dd,calmar,pf
1h    (2yr),2.0,0.3,3,145,51.7,4.31,3.7,9.0,0.41,1.08
15m   (~60d),3.5,0.2,32,13,30.8,2.2,2.0,4.9,0.41,1.24
1h    (2yr),2.0,0.1,8,94,42.6,4.03,3.5,8.7,0.4,1.1
15m   (~60d),3.0,0.1,32,12,33.3,1.7,1.5,4.0,0.39,1.21
1h    (2yr),4.0,0.3,3,145,51.0,5.37,4.6,11.8,0.39,1.09
15m   (~60d),3.5,0.2,12,13,30.8,2.13,1.9,4.9,0.39,1.24
1h    (2yr),4.0,0.3,8,145,43.4,5.53,4.7,12.4,0.38,1.09
1h    (2yr),3.0,0.3,8,145,43.4,5.5,4.7,12.4,0.38,1.09
15m   (~60d),3.0,0.3,32,15,33.3,1.31,1.1,3.0,0.38,1.13
15m   (~60d),3.0,0.3,20,15,33.3,1.31,1.1,3.0,0.38,1.13
30m   (~60d),3.5,0.5,16,15,40.0,1.51,1.3,3.5,0.38,1.17
15m   (~60d),3.0,0.1,12,12,33.3,1.63,1.5,4.0,0.37,1.2
1h    (2yr),2.0,0.1,5,94,42.6,3.72,3.2,8.7,0.36,1.09
1h    (2yr),1.0,0.5,5,185,49.7,4.29,3.7,10.6,0.35,1.06
1h    (2yr),2.5,0.3,8,145,44.1,5.16,4.4,12.6,0.35,1.08
30m   (~60d),4.0,0.2,6,13,53.8,0.86,0.7,2.1,0.35,1.14
30m   (~60d),4.0,0.3,6,14,50.0,1.17,1.0,3.0,0.35,1.17
1h    (2yr),3.5,0.3,3,145,51.0,4.67,3.9,11.8,0.33,1.08
1h    (2yr),3.0,0.3,3,145,51.0,4.47,3.8,11.8,0.32,1.08
1h    (2yr),3.0,0.3,5,145,42.8,4.57,3.8,13.1,0.29,1.07
1h    (2yr),3.5,0.3,8,145,43.4,4.45,3.6,12.4,0.29,1.07
1h    (2yr),4.0,0.3,5,145,42.8,4.64,3.8,12.9,0.29,1.07
1h    (2yr),2.5,0.3,5,145,43.4,4.47,3.7,12.9,0.29,1.07
1h    (2yr),1.0,0.5,3,185,55.1,3.24,2.7,9.2,0.29,1.05
30m   (~60d),3.5,0.5,6,15,46.7,0.95,0.8,3.0,0.28,1.12
1h    (2yr),1.0,0.5,8,185,50.3,3.49,2.9,10.6,0.27,1.05
30m   (~60d),4.0,0.5,10,15,40.0,0.93,0.8,3.3,0.23,1.1
15m   (~60d),4.0,0.1,32,12,33.3,1.05,0.9,3.9,0.22,1.13
15m   (~60d),4.0,0.2,20,13,30.8,1.25,1.1,4.9,0.22,1.14
1h    (2yr),3.5,0.3,5,145,42.8,3.57,2.7,12.9,0.21,1.06
30m   (~60d),3.0,0.5,16,15,40.0,0.89,0.7,3.5,0.21,1.1
15m   (~60d),3.0,0.3,12,15,33.3,0.78,0.6,3.0,0.2,1.08
30m   (~60d),2.0,0.3,10,14,50.0,0.63,0.5,3.0,0.18,1.09
30m   (~60d),3.5,0.3,6,14,50.0,0.67,0.5,3.0,0.18,1.1
15m   (~60d),3.0,0.2,20,13,30.8,0.96,0.8,4.9,0.16,1.11
30m   (~60d),3.5,0.2,6,13,53.8,0.36,0.3,2.1,0.12,1.06
15m   (~60d),3.0,0.2,32,13,30.8,0.7,0.5,4.9,0.11,1.08
30m   (~60d),3.0,0.5,6,15,46.7,0.45,0.3,3.0,0.11,1.06
30m   (~60d),1.5,0.2,6,13,53.8,0.27,0.2,2.0,0.1,1.04
15m   (~60d),3.0,0.2,12,13,30.8,0.63,0.4,4.9,0.09,1.07
30m   (~60d),3.5,0.5,10,15,40.0,0.43,0.3,3.3,0.08,1.05
15m   (~60d),2.5,0.1,20,12,33.3,0.46,0.3,4.5,0.07,1.06
1h    (2yr),1.5,0.3,5,145,44.8,1.09,0.4,10.3,0.04,1.02
1h    (2yr),1.5,0.3,8,145,45.5,1.13,0.5,10.7,0.04,1.02
1h    (2yr),1.5,0.3,3,145,52.4,0.97,0.4,9.2,0.04,1.02
15m   (~60d),2.5,0.1,32,12,33.3,0.2,0.1,4.5,0.02,1.03
30m   (~60d),3.0,0.3,6,14,50.0,0.17,0.1,3.0,0.02,1.02
30m   (~60d),1.5,0.5,16,15,46.7,0.14,0.0,3.0,0.02,1.02
1h    (2yr),2.5,0.3,3,145,51.0,0.97,0.3,11.9,0.02,1.02
15m   (~60d),2.5,0.1,12,12,33.3,0.13,-0.0,4.5,-0.0,1.02
30m   (~60d),2.0,0.2,6,13,53.8,0.06,-0.0,2.0,-0.01,1.01
1h    (2yr),1.0,0.3,3,145,55.2,0.4,-0.1,8.0,-0.01,1.01
1h    (2yr),1.0,0.3,5,145,49.0,0.44,-0.1,9.5,-0.01,1.01
1h    (2yr),1.0,0.3,8,145,49.7,0.41,-0.1,9.4,-0.01,1.01
15m   (~60d),1.5,0.1,20,12,41.7,-0.04,-0.1,5.4,-0.02,0.99
15m   (~60d),1.0,0.1,20,12,50.0,0.0,-0.1,4.0,-0.02,1.0
15m   (~60d),1.0,0.1,32,12,50.0,0.0,-0.1,4.0,-0.02,1.0
15m   (~60d),1.0,0.1,12,12,50.0,0.0,-0.1,4.0,-0.02,1.0
15m   (~60d),4.0,0.2,32,13,30.8,0.05,-0.1,4.9,-0.03,1.01
30m   (~60d),2.5,0.3,6,14,50.0,-0.06,-0.2,3.0,-0.05,0.99
30m   (~60d),1.0,0.2,16,13,53.8,-0.04,-0.1,2.0,-0.05,0.99
30m   (~60d),3.0,0.5,10,15,40.0,-0.07,-0.2,3.3,-0.07,0.99
15m   (~60d),1.5,0.1,32,12,41.7,-0.3,-0.4,5.4,-0.07,0.96
30m   (~60d),2.0,0.5,6,15,46.7,-0.12,-0.2,3.0,-0.08,0.98
15m   (~60d),1.5,0.1,12,12,41.7,-0.37,-0.5,5.4,-0.08,0.95
30m   (~60d),1.5,0.3,16,14,50.0,-0.19,-0.3,3.0,-0.09,0.97
15m   (~60d),2.5,0.3,32,15,33.3,-0.19,-0.3,3.0,-0.12,0.98
15m   (~60d),2.5,0.3,20,15,33.3,-0.19,-0.3,3.0,-0.12,0.98
1h    (2yr),1.5,0.1,8,94,43.6,-0.76,-1.2,9.4,-0.13,0.98
15m   (~60d),2.5,0.2,20,13,30.8,-0.54,-0.7,4.9,-0.14,0.94
15m   (~60d),4.0,0.5,32,17,29.4,-0.77,-1.0,6.0,-0.16,0.93
15m   (~60d),2.5,0.3,12,15,33.3,-0.35,-0.5,3.0,-0.17,0.96
1h    (2yr),1.5,0.1,3,94,47.9,-1.23,-1.7,9.9,-0.17,0.97
1h    (2yr),1.5,0.1,5,94,43.6,-1.26,-1.7,9.5,-0.18,0.97
15m   (~60d),2.5,0.2,32,13,30.8,-0.8,-0.9,4.9,-0.19,0.91
15m   (~60d),2.5,0.2,12,13,30.8,-0.87,-1.0,4.9,-0.21,0.9
30m   (~60d),1.5,0.5,10,15,46.7,-0.54,-0.6,3.0,-0.21,0.93
15m   (~60d),2.0,0.1,20,12,33.3,-1.04,-1.1,4.9,-0.23,0.87
15m   (~60d),2.0,0.1,32,12,33.3,-1.3,-1.4,4.9,-0.28,0.84
15m   (~60d),4.0,0.5,20,17,29.4,-1.55,-1.7,6.0,-0.29,0.86
1h    (2yr),1.0,0.1,8,94,47.9,-3.16,-3.4,11.3,-0.3,0.92
15m   (~60d),2.0,0.1,12,12,33.3,-1.37,-1.5,4.9,-0.3,0.83
30m   (~60d),1.5,0.3,10,14,50.0,-0.87,-0.9,3.0,-0.32,0.88
15m   (~60d),3.5,0.5,32,17,29.4,-1.77,-1.9,6.0,-0.32,0.84
1h    (2yr),1.0,0.1,5,94,47.9,-3.54,-3.8,11.6,-0.33,0.91
15m   (~60d),1.5,0.3,20,15,40.0,-0.97,-1.1,3.0,-0.36,0.89
1h    (2yr),1.0,0.1,3,94,51.1,-4.11,-4.3,12.1,-0.36,0.89
15m   (~60d),1.5,0.3,32,15,40.0,-0.97,-1.1,3.0,-0.36,0.89
15m   (~60d),1.5,0.3,12,15,40.0,-0.97,-1.1,3.0,-0.36,0.89
30m   (~60d),1.0,0.2,10,13,53.8,-0.68,-0.7,2.0,-0.37,0.89
15m   (~60d),3.5,0.5,20,17,29.4,-2.05,-2.2,6.0,-0.37,0.82
30m   (~60d),2.0,0.3,6,14,50.0,-1.06,-1.1,3.0,-0.38,0.85
15m   (~60d),4.0,0.1,12,12,33.3,-1.61,-1.7,3.9,-0.43,0.8
15m   (~60d),2.0,0.2,20,13,30.8,-2.04,-2.1,4.9,-0.43,0.77
15m   (~60d),4.0,0.2,12,13,30.8,-1.97,-2.1,4.9,-0.43,0.78
15m   (~60d),3.0,0.5,20,17,29.4,-2.75,-2.9,6.0,-0.48,0.75
15m   (~60d),2.0,0.2,32,13,30.8,-2.3,-2.4,4.9,-0.48,0.74
15m   (~60d),3.0,0.5,32,17,29.4,-2.77,-2.9,6.0,-0.48,0.75
30m   (~60d),1.0,0.3,16,14,50.0,-1.54,-1.6,3.3,-0.49,0.78
15m   (~60d),2.0,0.2,12,13,30.8,-2.37,-2.4,4.9,-0.5,0.74
15m   (~60d),1.0,0.2,32,13,38.5,-3.0,-3.0,5.9,-0.51,0.62
15m   (~60d),1.0,0.2,20,13,38.5,-3.0,-3.0,5.9,-0.51,0.62
15m   (~60d),1.0,0.2,12,13,38.5,-3.0,-3.0,5.9,-0.51,0.62
15m   (~60d),2.0,0.3,20,15,33.3,-1.47,-1.6,3.0,-0.53,0.85
15m   (~60d),2.0,0.3,12,15,33.3,-1.47,-1.6,3.0,-0.53,0.85
15m   (~60d),2.0,0.3,32,15,33.3,-1.47,-1.6,3.0,-0.53,0.85
30m   (~60d),1.0,0.5,16,15,46.7,-1.71,-1.8,3.3,-0.54,0.79
15m   (~60d),4.0,0.5,12,17,23.5,-3.1,-3.2,6.0,-0.54,0.72
30m   (~60d),1.5,0.5,6,15,46.7,-1.62,-1.7,3.0,-0.57,0.8
15m   (~60d),3.5,0.5,12,17,23.5,-3.6,-3.7,6.0,-0.62,0.68
